"","EVENT","Event","GeneID","geneSymbol","TP_1","TP_2","TP_3","TP_4","TP_5","TP_6","TP_7","TP_8","TP_9","TP_10","TP_11","TP_12","TP_13","TP_14","SCORE","seed"
"ST3GAL1_chr8:-:133475718:133476600:133475718:133476074:133476277:133476600:7702","ST3GAL1_chr8:-:133475718:133476600:133475718:133476074:133476277:133476600:7702","RI","ENSG00000008513.16","ST3GAL1",0.108,0.112,0.191,0.204,0.127,0.122,0.111,0.128,0.157,0.2,0.194,0.113,0.141,0.218,2.205412845,"SEED3"
"HEY1_chr8:-:79766650:79767092:79766650:79766732:79767008:79767092:4830","HEY1_chr8:-:79766650:79767092:79766650:79766732:79767008:79767092:4830","RI","ENSG00000164683.18","HEY1",0.048,0.043,0.114,0.167,0.068,0.096,0.096,0.067,0.085,0.096,0.136,0.055,0.072,0.156,2.206407185,"SEED3"
"DMTF1_chr7:+:87154389:87154528:87152435:87152555:87163494:87163617:69670","DMTF1_chr7:+:87154389:87154528:87152435:87152555:87163494:87163617:69670","SE","ENSG00000135164.19","DMTF1",0.291,0.299,0.524,0.522,0.377,0.333,0.244,0.327,0.33,0.333,0.265,0.275,0.29,0.336,2.214122138,"SEED3"
"FCSK_chr16:+:70466881:70467471:70467885:70467966:70466131:70466257:70468848:70468968:4407","FCSK_chr16:+:70466881:70467471:70467885:70467966:70466131:70466257:70468848:70468968:4407","MXE","ENSG00000157353.17","FCSK",0.317,0.359,0.51,0.5,0.27,0.506,0.412,0.39,0.445,0.427,0.456,0.405,0.278,0.388,2.219803923,"SEED3"
"NDUFAF5_chr20:+:13793179:13793227:13801507:13801683:13788588:13788652:13808841:13808865:1530","NDUFAF5_chr20:+:13793179:13793227:13801507:13801683:13788588:13788652:13808841:13808865:1530","MXE","ENSG00000101247.18","NDUFAF5",0.203,0.306,0.287,0.283,0.242,0.276,0.237,0.269,0.307,0.323,0.331,0.274,0.244,0.312,2.234169184,"SEED3"
"STRADA_chr17:-:63714005:63714108:63726637:63726695:63713405:63713527:63728333:63728413:3216","STRADA_chr17:-:63714005:63714108:63726637:63726695:63713405:63713527:63728333:63728413:3216","MXE","ENSG00000266173.7","STRADA",0.137,0.154,0.193,0.305,0.233,0.197,0.12,0.148,0.155,0.128,0.205,0.153,0.102,0.163,2.236557376,"SEED3"
"EME2_chr16:+:1775314:1775408:1775568:1775684:1774944:1775132:1775796:1775878:5100","EME2_chr16:+:1775314:1775408:1775568:1775684:1774944:1775132:1775796:1775878:5100","MXE","ENSG00000197774.14","EME2",0.334,0.32,0.392,0.496,0.351,0.308,0.365,0.339,0.324,0.356,0.366,0.393,0.242,0.322,2.238064515,"SEED3"
"NDUFAF5_chr20:+:13793179:13793227:13801485:13801683:13788588:13788652:13808841:13808902:1532","NDUFAF5_chr20:+:13793179:13793227:13801485:13801683:13788588:13788652:13808841:13808902:1532","MXE","ENSG00000101247.18","NDUFAF5",0.203,0.306,0.287,0.283,0.243,0.276,0.237,0.269,0.307,0.323,0.331,0.271,0.244,0.312,2.240211481,"SEED3"
"KRIT1_chr7:-:92244001:92244149:92242033:92242137:92245426:92245914:113156","KRIT1_chr7:-:92244001:92244149:92242033:92242137:92245426:92245914:113156","SE","ENSG00000001631.17","KRIT1",0.338,0.426,0.484,0.645,0.321,0.398,0.488,0.37,0.43,0.462,0.617,0.566,0.416,0.455,2.246589149,"SEED3"
"DPH5_chr1:-:101021640:101021765:101025308:101025466:101013709:101013818:101025664:101025762:15063","DPH5_chr1:-:101021640:101021765:101025308:101025466:101013709:101013818:101025664:101025762:15063","MXE","ENSG00000117543.22","DPH5",0.088,0.137,0.11,0.151,0.139,0.107,0.063,0.089,0.115,0.115,0.224,0.114,0.15,0.112,2.247857142,"SEED3"
"TTBK2_chr15:-:42794643:42794801:42827927:42828032:42783418:42783635:42829937:42830078:5769","TTBK2_chr15:-:42794643:42794801:42827927:42828032:42783418:42783635:42829937:42830078:5769","MXE","ENSG00000128881.18","TTBK2",0.29,0.417,0.43,0.455,0.375,0.417,0.296,0.405,0.425,0.491,0.341,0.433,0.283,0.354,2.24959267,"SEED3"
"MATR3_chr5:+:139314674:139316188:139314674:139314736:139316075:139316188:2298","MATR3_chr5:+:139314674:139316188:139314674:139314736:139316075:139316188:2298","RI","ENSG00000015479.20","MATR3",0.485,0.458,0.416,0.538,0.406,0.37,0.385,0.389,0.31,0.528,0.485,0.438,0.341,0.435,2.252081784,"SEED3"
"MYO19_chr17:-:36512873:36513505:36513428:36513505:36511364:36511455:1345","MYO19_chr17:-:36512873:36513505:36513428:36513505:36511364:36511455:1345","A5SS","ENSG00000278259.5","MYO19",0.128,0.165,0.213,0.187,0.196,0.194,0.192,0.164,0.171,0.256,0.255,0.233,0.18,0.171,2.25703125,"SEED3"
"DOT1L_chr19:+:2217771:2217918:2220107:2220222:2216954:2217090:2221975:2222559:24194","DOT1L_chr19:+:2217771:2217918:2220107:2220222:2216954:2217090:2221975:2222559:24194","MXE","ENSG00000104885.19","DOT1L",0.363,0.433,0.488,0.463,0.433,0.425,0.437,0.405,0.527,0.538,0.537,0.452,0.454,0.496,2.258921935,"SEED3"
"ERI3_chr1:-:44352849:44352925:44319627:44319744:44354891:44355061:107798","ERI3_chr1:-:44352849:44352925:44319627:44319744:44354891:44355061:107798","SE","ENSG00000117419.16","ERI3",0.394,0.52,0.469,0.567,0.438,0.337,0.422,0.419,0.505,0.505,0.465,0.518,0.437,0.48,2.264038803,"SEED3"
"MVK_chr12:+:109574808:109574900:109575997:109576145:109573793:109573873:109579801:109579946:31517","MVK_chr12:+:109574808:109574900:109575997:109576145:109573793:109573873:109579801:109579946:31517","MXE","ENSG00000110921.14","MVK",0.126,0.234,0.224,0.341,0.152,0.136,0.185,0.172,0.233,0.147,0.296,0.2,0.136,0.33,2.266950147,"SEED3"
"IL18BP_chr11:+:72001200:72001324:72001404:72001552:72000350:72000557:72001783:72001948:8836","IL18BP_chr11:+:72001200:72001324:72001404:72001552:72000350:72000557:72001783:72001948:8836","MXE","ENSG00000137496.18","IL18BP",0.512,0.608,0.55,0.6,0.656,0.537,0.444,0.575,0.667,0.827,0.66,0.694,0.689,0.643,2.26808948,"SEED3"
"TTC3_chr21:+:37095349:37095444:37096580:37096643:37091292:37091413:37108391:37108446:954","TTC3_chr21:+:37095349:37095444:37096580:37096643:37091292:37091413:37108391:37108446:954","MXE","ENSG00000182670.14","TTC3",0.075,0.032,0.069,0.157,0.072,0.073,0.093,0.072,0.052,0.079,0.121,0.085,0.052,0.068,2.273312102,"SEED3"
"KCTD9_chr8:-:25450379:25450481:25440576:25440673:25458198:25458280:134118","KCTD9_chr8:-:25450379:25450481:25440576:25440673:25458198:25458280:134118","SE","ENSG00000104756.16","KCTD9",0.273,0.25,0.397,0.5,0.324,0.277,0.341,0.229,0.292,0.422,0.435,0.25,0.31,0.258,2.274,"SEED3"
"B3GALNT2_chr1:-:235484321:235484515:235494680:235494828:235478907:235480149:235504140:235504425:20892","B3GALNT2_chr1:-:235484321:235484515:235494680:235494828:235478907:235480149:235504140:235504425:20892","MXE","ENSG00000162885.14","B3GALNT2",0.118,0.163,0.154,0.188,0.186,0.152,0.107,0.138,0.148,0.209,0.147,0.149,0.147,0.165,2.275454545,"SEED3"
"R3HDM1_chr2:+:135641535:135641604:135638895:135639122:135645378:135645527:146936","R3HDM1_chr2:+:135641535:135641604:135638895:135639122:135645378:135645527:146936","SE","ENSG00000048991.17","R3HDM1",0.152,0.198,0.217,0.225,0.221,0.232,0.177,0.188,0.232,0.253,0.23,0.224,0.186,0.253,2.278695654,"SEED3"
"CDH24_chr14:-:23051969:23052083:23049821:23049943:23052472:23052609:84171","CDH24_chr14:-:23051969:23052083:23049821:23049943:23052472:23052609:84171","SE","ENSG00000139880.21","CDH24",0.191,0.119,0.106,0.266,0.12,0.163,0.158,0.133,0.203,0.195,0.299,0.143,0.126,0.174,2.280100335,"SEED3"
"AASDH_chr4:-:56343561:56343684:56349262:56350058:56342834:56342966:56351341:56351457:26876","AASDH_chr4:-:56343561:56343684:56349262:56350058:56342834:56342966:56351341:56351457:26876","MXE","ENSG00000157426.14","AASDH",0.5,0.482,0.551,0.655,0.464,0.34,0.5,0.483,0.5,0.603,0.479,0.5,0.477,0.574,2.2840458,"SEED3"
"HNRNPH1_chr5:-:179618144:179618323:179617798:179617911:179620891:179621035:46549","HNRNPH1_chr5:-:179618144:179618323:179617798:179617911:179620891:179621035:46549","SE","ENSG00000169045.17","HNRNPH1",0.584,0.714,0.73,0.876,0.764,0.702,0.574,0.763,0.75,0.705,0.779,0.781,0.617,0.714,2.28502283,"SEED3"
"MRPL55_chr1:-:228108436:228109021:228108113:228108318:228109260:228109290:42715","MRPL55_chr1:-:228108436:228109021:228108113:228108318:228109260:228109290:42715","SE","ENSG00000162910.19","MRPL55",0.667,0.475,0.503,0.544,0.392,0.467,0.368,0.472,0.562,0.631,0.636,0.524,0.372,0.5,2.28592204,"SEED3"
"POLR2J3_chr7:-:102544705:102544776:102541500:102541662:102566996:102567070:163574","POLR2J3_chr7:-:102544705:102544776:102541500:102541662:102566996:102567070:163574","SE","ENSG00000168255.20","POLR2J3",0.086,0.074,0.078,0.145,0.063,0.103,0.09,0.11,0.085,0.133,0.163,0.057,0.06,0.085,2.289386502,"SEED3"
"SIRT7_chr17:-:81917829:81918132:81917829:81917967:81918038:81918132:960","SIRT7_chr17:-:81917829:81918132:81917829:81917967:81918038:81918132:960","RI","ENSG00000187531.14","SIRT7",0.03,0.049,0.07,0.127,0.034,0.03,0.055,0.03,0.027,0.031,0.103,0.081,0.058,0.05,2.29,"SEED3"
"PHF3_chr6:+:63646618:63646795:63635835:63636150:63679999:63680161:37089","PHF3_chr6:+:63646618:63646795:63635835:63636150:63679999:63680161:37089","SE","ENSG00000118482.12","PHF3",0.354,0.526,0.486,0.657,0.521,0.421,0.463,0.418,0.57,0.53,0.576,0.471,0.459,0.425,2.291004567,"SEED3"
"ATG13_chr11:+:46618324:46618375:46617526:46617890:46630044:46630100:156624","ATG13_chr11:+:46618324:46618375:46617526:46617890:46630044:46630100:156624","SE","ENSG00000175224.17","ATG13",0.204,0.279,0.305,0.333,0.252,0.153,0.245,0.232,0.233,0.302,0.265,0.306,0.225,0.248,2.292282281,"SEED3"
"PDE2A_chr11:-:72631077:72631139:72642253:72642326:72608661:72608751:72674136:72674422:33782","PDE2A_chr11:-:72631077:72631139:72642253:72642326:72608661:72608751:72674136:72674422:33782","MXE","ENSG00000186642.16","PDE2A",0.163,0.209,0.251,0.201,0.259,0.17,0.262,0.227,0.238,0.282,0.286,0.263,0.178,0.246,2.295314686,"SEED3"
"ENSG00000233184_chr1:+:101083460:101083574:101025854:101026061:101086851:101087193:45927","ENSG00000233184_chr1:+:101083460:101083574:101025854:101026061:101086851:101087193:45927","SE","ENSG00000233184.8","ENSG00000233184",0.731,0.696,0.783,0.771,0.639,0.587,0.478,0.625,0.708,0.604,0.63,0.691,0.471,0.667,2.299297574,"SEED3"
"HFE_chr6:+:26090840:26091104:26091313:26091589:26087280:26087516:26092684:26092960:28112","HFE_chr6:+:26090840:26091104:26091313:26091589:26087280:26087516:26092684:26092960:28112","MXE","ENSG00000010704.19","HFE",0.278,0.505,0.455,0.681,0.368,0.508,0.423,0.481,0.386,0.582,0.6,0.455,0.513,0.485,2.299368577,"SEED3"
"PPARGC1B_chr5:+:149820432:149820606:149826672:149826885:149730300:149730420:149830766:149830883:7075","PPARGC1B_chr5:+:149820432:149820606:149826672:149826885:149730300:149730420:149830766:149830883:7075","MXE","ENSG00000155846.17","PPARGC1B",0.532,0.478,0.584,0.727,0.583,0.561,0.424,0.514,0.391,0.629,0.672,0.6,0.562,0.604,2.300151306,"SEED3"
"GUSBP1_chr5:+:21466618:21466748:21461782:21461866:21473356:21474438:54336","GUSBP1_chr5:+:21466618:21466748:21461782:21461866:21473356:21474438:54336","SE","ENSG00000183666.18","GUSBP1",0.367,0.481,0.543,0.468,0.393,0.353,0.385,0.372,0.383,0.424,0.497,0.482,0.32,0.418,2.302891343,"SEED3"
"CRTC2_chr1:-:153952570:153952650:153952570:153952635:153952804:153952834:4808","CRTC2_chr1:-:153952570:153952650:153952570:153952635:153952804:153952834:4808","A3SS","ENSG00000160741.17","CRTC2",0.096,0.134,0.172,0.157,0.129,0.13,0.138,0.136,0.185,0.186,0.209,0.177,0.177,0.188,2.303301437,"SEED3"
"COL27A1_chr9:+:114306519:114306688:114307668:114307778:114304607:114304673:114309259:114309478:14654","COL27A1_chr9:+:114306519:114306688:114307668:114307778:114304607:114304673:114309259:114309478:14654","MXE","ENSG00000196739.15","COL27A1",0.363,0.32,0.341,0.453,0.362,0.339,0.354,0.328,0.345,0.418,0.435,0.417,0.275,0.358,2.303863137,"SEED3"
"SLX9_chr21:+:44943683:44943792:44960099:44960168:44940011:44940186:44967033:44967181:30121","SLX9_chr21:+:44943683:44943792:44960099:44960168:44940011:44940186:44967033:44967181:30121","MXE","ENSG00000160256.13","SLX9",0.168,0.236,0.246,0.25,0.244,0.239,0.209,0.239,0.245,0.317,0.28,0.209,0.267,0.25,2.312208201,"SEED3"
"IQCK_chr16:+:19788837:19788922:19827025:19827137:19763847:19764112:19856486:19857539:4895","IQCK_chr16:+:19788837:19788922:19827025:19827137:19763847:19764112:19856486:19857539:4895","MXE","ENSG00000174628.17","IQCK",0.314,0.344,0.357,0.319,0.429,0.27,0.156,0.203,0.298,0.342,0.532,0.304,0.281,0.269,2.312706768,"SEED3"
"SLX9_chr21:+:44943683:44943837:44960099:44960168:44940028:44940186:44967033:44967181:30122","SLX9_chr21:+:44943683:44943837:44960099:44960168:44940028:44940186:44967033:44967181:30122","MXE","ENSG00000160256.13","SLX9",0.17,0.236,0.246,0.25,0.244,0.239,0.209,0.239,0.245,0.317,0.278,0.209,0.268,0.25,2.315362777,"SEED3"
"PPARGC1B_chr5:+:149832655:149833778:149835300:149835365:149826672:149826885:149836262:149837073:7079","PPARGC1B_chr5:+:149832655:149833778:149835300:149835365:149826672:149826885:149836262:149837073:7079","MXE","ENSG00000155846.17","PPARGC1B",0.315,0.226,0.319,0.443,0.268,0.13,0.221,0.273,0.226,0.315,0.227,0.262,0.198,0.188,2.31812641,"SEED3"
"KIF24_chr9:-:34290173:34290389:34306251:34306441:34286616:34286704:34310723:34311371:26445","KIF24_chr9:-:34290173:34290389:34306251:34306441:34286616:34286704:34310723:34311371:26445","MXE","ENSG00000186638.17","KIF24",0.386,0.674,0.609,0.737,0.494,0.544,0.583,0.538,0.655,0.658,0.667,0.561,0.567,0.635,2.323975578,"SEED3"
"ZHX3_chr20:-:41268978:41269083:41268989:41269083:41202056:41205066:447","ZHX3_chr20:-:41268978:41269083:41268989:41269083:41202056:41205066:447","A5SS","ENSG00000174306.22","ZHX3",0.248,0.412,0.219,0.5,0.299,0.354,0.281,0.223,0.343,0.424,0.406,0.333,0.291,0.39,2.324,"SEED3"
"MRPL55_chr1:-:228108436:228108474:228108234:228108318:228109148:228109306:42707","MRPL55_chr1:-:228108436:228108474:228108234:228108318:228109148:228109306:42707","SE","ENSG00000162910.19","MRPL55",0.138,0.14,0.142,0.189,0.137,0.143,0.102,0.13,0.224,0.201,0.179,0.19,0.151,0.156,2.324642856,"SEED3"
"SMARCA1_chrX:-:129448301:129448443:129448332:129448443:129446504:129447301:59","SMARCA1_chrX:-:129448301:129448443:129448332:129448443:129446504:129447301:59","A5SS","ENSG00000102038.16","SMARCA1",0.222,0.233,0.213,0.418,0.142,0.222,0.243,0.184,0.243,0.266,0.292,0.188,0.143,0.21,2.32923445,"SEED3"
"MTHFSD_chr16:-:86552032:86552146:86554644:86554751:86548463:86548577:86555168:86555235:31554","MTHFSD_chr16:-:86552032:86552146:86554644:86554751:86548463:86548577:86555168:86555235:31554","MXE","ENSG00000103248.19","MTHFSD",0.352,0.333,0.373,0.462,0.381,0.288,0.333,0.347,0.398,0.5,0.357,0.378,0.333,0.475,2.33,"SEED3"
"SLC66A2_chr18:-:79933968:79934022:79902419:79904183:79943328:79943462:30265","SLC66A2_chr18:-:79933968:79934022:79902419:79904183:79943328:79943462:30265","SE","ENSG00000122490.19","SLC66A2",0.248,0.253,0.221,0.375,0.234,0.279,0.249,0.26,0.332,0.321,0.329,0.189,0.208,0.303,2.336666667,"SEED3"
"TMEM222_chr1:+:27330984:27331137:27330719:27330804:27332069:27332101:79051","TMEM222_chr1:+:27330984:27331137:27330719:27330804:27332069:27332101:79051","SE","ENSG00000186501.15","TMEM222",0.084,0.077,0.12,0.127,0.081,0.087,0.101,0.103,0.16,0.183,0.142,0.102,0.108,0.101,2.336885245,"SEED3"
"SGMS1_chr10:-:50460672:50460814:50466889:50466932:50433475:50433556:50519830:50519921:31614","SGMS1_chr10:-:50460672:50460814:50466889:50466932:50433475:50433556:50519830:50519921:31614","MXE","ENSG00000198964.14","SGMS1",0.366,0.358,0.38,0.402,0.312,0.297,0.243,0.31,0.337,0.441,0.504,0.351,0.444,0.272,2.341984126,"SEED3"
"SDCCAG8_chr1:+:243304712:243304777:243307988:243308177:243286382:243286397:243316754:243316893:15481","SDCCAG8_chr1:+:243304712:243304777:243307988:243308177:243286382:243286397:243316754:243316893:15481","MXE","ENSG00000054282.16","SDCCAG8",0.143,0.249,0.164,0.321,0.168,0.192,0.21,0.238,0.211,0.306,0.296,0.308,0.174,0.185,2.343208724,"SEED3"
"CSGALNACT2_chr10:+:43158714:43158931:43167003:43167098:43154896:43155810:43175950:43176032:31527","CSGALNACT2_chr10:+:43158714:43158931:43167003:43167098:43154896:43155810:43175950:43176032:31527","MXE","ENSG00000169826.8","CSGALNACT2",0.472,0.474,0.557,0.649,0.556,0.414,0.38,0.434,0.531,0.434,0.533,0.554,0.466,0.51,2.343990755,"SEED3"
"ROCK2_chr2:-:11235701:11235962:11249660:11249798:11227253:11227398:11286538:11286639:21317","ROCK2_chr2:-:11235701:11235962:11249660:11249798:11227253:11227398:11286538:11286639:21317","MXE","ENSG00000134318.15","ROCK2",0.291,0.284,0.319,0.315,0.277,0.28,0.221,0.278,0.311,0.251,0.333,0.294,0.277,0.281,2.345075076,"SEED3"
"ZCCHC8_chr12:-:122482634:122482695:122483278:122483563:122481944:122482087:122489385:122489463:35638","ZCCHC8_chr12:-:122482634:122482695:122483278:122483563:122481944:122482087:122489385:122489463:35638","MXE","ENSG00000033030.15","ZCCHC8",0.294,0.402,0.344,0.504,0.372,0.404,0.295,0.368,0.351,0.462,0.466,0.389,0.363,0.35,2.352698413,"SEED3"
"SNHG20_chr17:+:77088748:77089271:77088748:77088949:77089152:77089271:6529","SNHG20_chr17:+:77088748:77089271:77088748:77088949:77089152:77089271:6529","RI","ENSG00000234912.12","SNHG20",0.126,0.116,0.13,0.163,0.093,0.058,0.1,0.084,0.076,0.169,0.072,0.095,0.103,0.1,2.356272189,"SEED3"
"MRPL55_chr1:-:228108436:228109021:228108954:228109021:228108234:228108318:3006","MRPL55_chr1:-:228108436:228109021:228108954:228109021:228108234:228108318:3006","A5SS","ENSG00000162910.19","MRPL55",0.211,0.218,0.217,0.252,0.182,0.178,0.15,0.215,0.259,0.266,0.207,0.28,0.174,0.22,2.356428572,"SEED3"
"ARL16_chr17:-:81682490:81682675:81682033:81682149:81683012:81683126:14997","ARL16_chr17:-:81682490:81682675:81682033:81682149:81683012:81683126:14997","SE","ENSG00000214087.9","ARL16",0.265,0.297,0.278,0.392,0.27,0.269,0.224,0.314,0.375,0.344,0.357,0.282,0.3,0.385,2.357959184,"SEED3"
"PALD1_chr10:+:70547305:70547446:70564363:70564519:70541462:70541534:70566580:70568450:25642","PALD1_chr10:+:70547305:70547446:70564363:70564519:70541462:70541534:70566580:70568450:25642","MXE","ENSG00000107719.9","PALD1",0.409,0.593,0.583,0.563,0.571,0.581,0.463,0.51,0.692,0.708,0.618,0.571,0.36,0.478,2.358474577,"SEED3"
"CIAO3_chr16:-:739539:739738:739642:739738:737185:737329:1900","CIAO3_chr16:-:739539:739738:739642:739738:737185:737329:1900","A5SS","ENSG00000103245.14","CIAO3",0.037,0.034,0.085,0.122,0.037,0.066,0.021,0.035,0.036,0.038,0.037,0.023,0.05,0.054,2.359180327,"SEED3"
"MRPS11_chr15:+:88467907:88469145:88467907:88468024:88475109:88475239:1971","MRPS11_chr15:+:88467907:88469145:88467907:88468024:88475109:88475239:1971","A5SS","ENSG00000181991.16","MRPS11",0.308,0.434,0.475,0.355,0.443,0.425,0.398,0.431,0.433,0.632,0.509,0.474,0.425,0.582,2.359367088,"SEED3"
"EHMT1_chr9:+:137743370:137743528:137743391:137743528:137728348:137728529:14344","EHMT1_chr9:+:137743370:137743528:137743391:137743528:137728348:137728529:14344","A3SS","ENSG00000181090.21","EHMT1",0.365,0.385,0.519,0.551,0.468,0.472,0.449,0.478,0.52,0.469,0.488,0.516,0.461,0.479,2.366007259,"SEED3"
"DMTF1_chr7:+:87163238:87163332:87152425:87152555:87163494:87163539:69674","DMTF1_chr7:+:87163238:87163332:87152425:87152555:87163494:87163539:69674","SE","ENSG00000135164.19","DMTF1",0.08,0.15,0.246,0.214,0.119,0.18,0.078,0.12,0.174,0.12,0.119,0.173,0.124,0.161,2.366747967,"SEED3"
"COL15A1_chr9:+:98987293:98987368:98989177:98989258:98985564:98986112:98996933:98997081:30414","COL15A1_chr9:+:98987293:98987368:98989177:98989258:98985564:98986112:98996933:98997081:30414","MXE","ENSG00000204291.11","COL15A1",0.343,0.308,0.438,0.502,0.325,0.357,0.384,0.308,0.372,0.248,0.401,0.35,0.327,0.377,2.369760958,"SEED3"
"PPT2_chr6:+:32153998:32154404:32153576:32153636:32154586:32154777:50002","PPT2_chr6:+:32153998:32154404:32153576:32153636:32154586:32154777:50002","SE","ENSG00000221988.13","PPT2",0.333,0.395,0.352,0.54,0.303,0.322,0.408,0.411,0.436,0.449,0.461,0.438,0.427,0.455,2.377407407,"SEED3"
"LARP4_chr12:+:50416345:50416434:50400895:50401028:50427764:50427909:165207","LARP4_chr12:+:50416345:50416434:50400895:50401028:50427764:50427909:165207","SE","ENSG00000161813.23","LARP4",0.133,0.079,0.16,0.222,0.081,0.097,0.131,0.082,0.173,0.208,0.126,0.073,0.096,0.084,2.380630629,"SEED3"
"TNS3_chr7:-:47442002:47442055:47481102:47481141:47439486:47439658:47506906:47506944:30754","TNS3_chr7:-:47442002:47442055:47481102:47481141:47439486:47439658:47506906:47506944:30754","MXE","ENSG00000136205.17","TNS3",0.188,0.245,0.338,0.455,0.321,0.362,0.287,0.319,0.331,0.397,0.336,0.335,0.36,0.344,2.382087912,"SEED3"
"APTX_chr9:-:32988091:32988124:32987543:32987731:32989758:32989895:141803","APTX_chr9:-:32988091:32988124:32987543:32987731:32989758:32989895:141803","SE","ENSG00000137074.20","APTX",0.381,0.423,0.591,0.518,0.517,0.339,0.421,0.343,0.36,0.521,0.56,0.578,0.419,0.47,2.383502537,"SEED3"
"AMPD2_chr1:+:109620913:109621266:109619836:109620278:109625302:109625433:70452","AMPD2_chr1:+:109620913:109621266:109619836:109620278:109625302:109625433:70452","SE","ENSG00000116337.20","AMPD2",0.118,0.153,0.2,0.22,0.117,0.159,0.128,0.178,0.166,0.125,0.106,0.155,0.127,0.159,2.383636364,"SEED3"
"MCEE_chr2:-:71129716:71129817:71124205:71124543:71130179:71130239:130949","MCEE_chr2:-:71129716:71129817:71124205:71124543:71130179:71130239:130949","SE","ENSG00000124370.11","MCEE",0.21,0.267,0.357,0.333,0.308,0.227,0.18,0.208,0.25,0.264,0.246,0.243,0.242,0.194,2.386862744,"SEED3"
"HDAC5_chr17:-:44092171:44092284:44092380:44092527:44091699:44091831:44092675:44092806:10332","HDAC5_chr17:-:44092171:44092284:44092380:44092527:44091699:44091831:44092675:44092806:10332","MXE","ENSG00000108840.16","HDAC5",0.495,0.373,0.349,0.569,0.446,0.355,0.391,0.364,0.442,0.486,0.46,0.489,0.268,0.44,2.388664322,"SEED3"
